ISBN,Title,Author,Year-Of-Publication,Publisher
034536998X,The Players Come Again (Kate Fansler Novels (Paperback)),AMANDA CROSS,1991,Fawcett
0380788756,Baltimore Blues (Tess Monaghan Mysteries (Paperback)),Laura Lippman,1997,Avon
0062548662,Meditations for Women Who Do Too Much - 10th Anniversary,Anne Wilson Schaef,1990,HarperSanFrancisco
0140046941,Black Odyssey: The Case of the Slave Ship Amistad,Mary Cable,1998,Penguin Books
0440123925,Exit to Eden,ANNE RAMPLING,1986,Dell
006109921X,Up Island: A Novel,Anne Rivers Siddons,1998,HarperTorch
0671653989,FALLING FREE,Lois McMaster Bujold,1988,Baen
0553560204,The Lesson of Her Death,Jeffery Wilds Deaver,1994,Crimeline
0553293877,The Ghost from the Grand Banks,Arthur C. Clarke,1992,Spectra Books
0670030031,Lake Wobegon: Summer 1956,Garrison Keillor,2001,Viking Books
0316693715,Jack and Jill: A Novel,James Patterson,1996,Little Brown &amp; Co
0374184232,The Laws of Our Fathers,Scott Turow,1996,Farrar Straus Giroux
0553581929,Special Circumstances,SHELDON SIEGEL,2001,Bantam
0451200284,Scavenger,Tom Savage,2000,Signet Book
0671036564,Run For Your Life,Andrea Kane,2000,Pocket
0449224260,A Certain Smile,Judith Michael,2000,Ballantine Books
0449149900,Mr. X,Peter Straub,2000,Ballantine Books
0316812404,Revolution from Within: A Book of Self-Esteem,Gloria Steinem,1992,Little Brown &amp; Co
0684834723,The LETTER,Richard Paul Evans,1997,Simon &amp; Schuster
0553581937,Incriminating Evidence,Sheldon Siegel,2002,Bantam Books
0451202317,Beyond Eden,Catherine Coulter,2000,Signet Book
1551669153,Split Second (Maggie O'Dell Novels (Paperback)),Alex Kava,2001,Mira
0140250948,In the Lake of the Woods,Tim O'Brien,1995,Penguin Books
0821766570,The Guest List,Fern Michaels,2000,Zebra Books
0312979398,The Eye of the Tiger,Wilbur Smith,2001,St. Martin's Paperbacks
0812590252,A Midwinter's Tale (O'Malley Novels (Forge Paperback)),Andrew M. Greeley,1999,Forge
0786889608,Middle of Nowhere,Ridley Pearson,2001,Hyperion
0671553038,LIFE SUPPORT,Tess Gerritsen,1997,Atria
0786889756,Red Light,T. Jefferson Parker,2001,Hyperion
0446605050,The Intruder,Peter Blauner,1997,Warner Books
0345428285,The Insider,STEPHEN FREY,2000,Ballantine Books
0553571834,Haunting Rachel,KAY HOOPER,1999,Bantam
042517140X,Loyalty in Death,J. D. Robb,2004,Berkley Publishing Group
1551668246,Perfect Evil (Maggie O'Dell Novels (Paperback)),Alex Kava,2001,Mira
0671523090,Flash,Jayne Ann Krentz,1999,Pocket Star
0425160394,Vengeance in Death,J. D. Robb,1999,Berkley Publishing Group
0671019554,Cold Hit (Alexandra Cooper Mysteries (Paperback)),Linda Fairstein,2000,Pocket
0385494246,Amsterdam : A Novel,IAN MCEWAN,1999,Anchor
0812576403,The Light of Other Days,Arthur C. Clarke,2001,Tor Books
0553109588,More Letters from a Nut,Ted L. Nancy,1998,Bantam
0679720219,The Plague (Vintage International),ALBERT CAMUS,1991,Vintage
0345397819,Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),Anne Rice,1995,Ballantine Books
0451406893,Rebel (Florida Civil War (Paperback)),Heather Graham,1997,Topaz
0553576232,Shadows and Lace,Teresa Medeiros,1996,Fanfare
0425181979,My Heart Stood Still,Lynn Kurland,2001,Berkley Publishing Group
0553294083,A Whisper of Roses,Teresa Medeiros,1993,Bantam Books
0312966210,The Rival (Rival),Brenda Joyce,1998,St. Martin's Press
0821742841,Lady of the Forest,Jennifer Roberson,1993,Zebra Books
0553573705,Almost Innocent,Jane Feather,2001,Bantam Books
0671755056,SHAMPOO PLANET,Douglas Coupland,1992,Atria
0679735186,Independence Day (Vintage Contemporaries),RICHARD FORD,1996,Vintage
0451185145,Murder Can Stunt Your Growth: A Desiree Shapiro Mystery (Desiree Shapiro Mysteries (Paperback)),Selma Eichler,1996,Signet Book
0440226406,Legacy of Silence,Belva Plain,1999,Dell Publishing Company
0679721746,Commitments (Vintage Contemporaries),Roddy Doyle,1989,Vintage Books USA
0451180224,Criminal Seduction,Darian North,1994,Signet Book
0553572512,Playing for the Ashes,ELIZABETH GEORGE,1995,Bantam
0684854759,FLOATING IN MY MOTHER'S PALM,Ursula Hegi,1998,Touchstone
0684824892,Wait Till Next Year : A MEMOIR,Doris Kearns Goodwin,1997,Simon &amp; Schuster
0684847957,WAIT TILL NEXT YEAR: A MEMOIR,Doris Kearns Goodwin,1998,Simon &amp; Schuster
0440219248,Whatever Happened to Janie?,Caroline B. Cooney,1994,Laure Leaf
0446313033,A Shroud for a Nightingale,P. D. James,1992,Warner Books
0425146383,A Dash of Death,Claudia Bishop,1995,Berkley Publishing Group
038077030X,Miss Zukas and the Library Murders (Miss Zukas Mysteries),Jo Dereske,1994,Avon
0140340203,The Witches,Roald Dahl,1989,Puffin Books
0684803860,DAUGHTER OF TIME,Josephine Tey,1995,Touchstone
042510429X,The Third Deadly Sin,Lawrence Sanders,2001,Berkley Publishing Group
0425079600,Passion of Molly T,Lawrence Sanders,1985,Penguin Putnam~mass
0425094731,The Dream Lover,Lawrence Sanders,2001,Berkley Publishing Group
0380751453,Tales of the Wolf,Lawrence Sanders,1986,Harper Mass Market Paperbacks
0425100057,The Eighth Commandment,Lawrence Sanders,1994,Berkley Publishing Group
0449148718,The Christening Day Murder (Christine Bennett Mysteries),LEE HARRIS,1993,Fawcett
0886778441,"River of Blue Fire (Otherland, Volume 2)",Tad Williams,1999,DAW
0451197011,American Dreams,John Jakes,1999,Signet Book
0671010123,Final Jeopardy (Alexandra Cooper Mysteries (Paperback)),Linda Fairstein,1997,Pocket
0425143570,Thunder Point,Jack Higgins,1994,Berkley Publishing Group
0345381645,The Vanished Child,Sarah Smith,1995,Fawcett Books
0679725768,The Mezzanine (Vintage Contemporaries (Paperback)),Nicholson Baker,1990,Vintage Books USA
0140366679,White Fang (Puffin Classics),Jack London,1994,Puffin Books
0385315147,Smilla's Sense of Snow,Peter Hoeg,1995,Delta
0449219615,Farriers' Lane,Anne Perry,1994,Fawcett Books
0140131558,"The New York Trilogy: City of Glass, Ghosts, the Locked Room (Contemporary American Fiction Series)",Paul Auster,1994,Penguin Books
0449003884,The Bride Finder : A Novel,SUSAN CARROLL,1999,Ivy Books
0553581856,A Kiss to Remember,TERESA MEDEIROS,2002,Bantam
038082079X,"Affair to Remember, An",Karen Hawkins,2002,Avon
0515133620,Tapestry,Lynn Kurland,2002,Jove Books
0380820838,London's Perfect Scoundrel : Lessons in Love (Lessons in Love),Suzanne Enoch,2003,Avon
038082082X,The Rake: Lessons in Love,Suzanne Enoch,2002,Avon
0671744216,The Secret,Julie Garwood,1992,Pocket
0312998368,Night Pleasures (A Dark-Hunter Novel),Sherrilyn Kenyon,2004,St. Martin's Paperbacks
0425118312,Witch,Barbara Michaels,1996,Berkley Publishing Group
0441006256,Freedom's Challenge,Anne McCaffrey,1999,Ace Books
0505525526,Single White Vampire,Lynsay Sands,2003,Love Spell
0345328396,The Red Fox,Anthony Hyde,1988,Ballantine Books
0505522551,The Last Viking (Viking),Sandra Hill,1998,Love Spell
0425140946,Terminal,Robin Cook,1994,Penguin Putnam~mass
0060972920,Getting the Love You Want: A Guide for Couples,Harville Hendrix,1992,Perennial
0375500316,Even the Stars Look Lonesome,Maya Angelou,1997,Random House
0446341754,Other Side of Midnight,Sidney Sheldon,1985,Not Avail
0515115649,The Cat Who Came to Breakfast,Lilian Jackson Braun,1995,Jove Books
0451192303,"Between a Wok and a Hard Place: A Pennsylvania Dutch Mystery With Recipes (Magdalena Yoder Mystery Series , No 5)",Tamar Myers,1998,Signet Book
0380792540,"So Faux, So Good (Den of Antiquity)",Tamar Myers,1998,Avon
0525946535,One-Hit Wonder,Lisa Jewell,2002,Dutton Adult
0446530190,Cancer Schmancer,Fran Drescher,2002,Warner Books
0064400972,Betsy-Tacy and Tib (Betsy-Tacy),Maud Hart Lovelace,1979,HarperTrophy
0064400964,Betsy-Tacy (Betsy-Tacy),Maud Hart Lovelace,2000,HarperTrophy
0064430170,Goodnight Moon,Margaret Wise Brown,1977,HarperTrophy
0020442300,The Magician's Nephew,C. S. Lewis,1970,MacMillan Publishing Company.
0890438439,How to Clean Practically Anything,Edward Kipel,1996,Consumer Reports Books
0871236117,"When Calls the Heart (Canadian West, Book 1)",Janette Oke,1983,Bethany House Publishers
0871233428,"Love Comes Softly (Love Comes Softly, Book 1)",Janette Oke,1979,Bethany House
0064471063,The Horse and His Boy,C. S. Lewis,1994,HarperCollins
0064409422,"The Lion, the Witch and the Wardrobe (Full-Color Collector's Edition)",C. S. Lewis,2000,HarperTrophy
0064471055,Prince Caspian (rack) : The Return to Narnia (Narnia),C. S. Lewis,1994,HarperCollins
0064471071,The Voyage of the Dawn Treader (rack) (Narnia),C. S. Lewis,1994,HarperCollins
0449238946,If Life Is a Bowl of Cherries What Am I,Erma Bombeck,1981,Ballantine Books
0688151981,We Are Our Mothers' Daughters,Cokie Roberts,1998,William Morrow
0064400085,These Happy Golden Years (Little House),Laura Ingalls Wilder,1953,HarperTrophy
0064400077,Little Town on the Prairie,Laura Ingalls Wilder,1953,HarperTrophy
0064400069,The Long Winter (Little House),Laura Ingalls Wilder,1953,HarperTrophy
0064400050,By the Shores of Silver Lake (Little House),Laura Ingalls Wilder,1953,HarperTrophy
0064400042,On the Banks of Plum Creek,Laura Ingalls Wilder,1953,HarperTrophy
0525946756,Skipping Towards Gomorrah: The Seven Deadly Sins and the Pursuit of Happiness in America,Dan Savage,2002,Dutton Books
0671021354,Child of the Hunt (Buffy the Vampire Slayer),Christopher Golden,1998,Simon Spotlight Entertainment
1556612257,A Woman Named Damaris (Women of the West),Janette Oke,1991,Bethany House Publishers
155661683X,A Gown of Spanish Lace (Women of the West),Janette Oke,1995,Bethany House Publishers
0590409662,Rent a Third Grader (Little Apple),B.B. Hiller,1996,Scholastic
0590624008,Santa Paws,Nicholas Edwards,1996,Scholastic
0836204158,It'S Obvious You Won'T Survive By Your Wits Alone,Scott Adams,1995,Andrews McMeel Publishing
0451177010,Shaman,Noah Gordon,1993,Signet Book
0449244172,Sins of the Fathers,Susan Howatch,1981,Not Avail
0451130987,Fatal Vision,Joe Mcginnis,1984,Penguin Putnam~mass
044920703X,One More Sunday,John D. MacDonald,1985,Fawcett Books
0553269321,Echoes in the Darkness,Joseph Wambaugh,1987,Bantam Books
0671708368,"Fortune's Light (Star Trek The Next Generation, No 15)",Michael Jan Friedman,1991,Star Trek
0812522729,Children of the Night: A Diana Tregarde Investigation,Mercedes Lackey,1992,Tor Books
0553100777,Trinity,Leon Uris,0,Bantam Doubleday Dell
0553268074,Beet Queen,Louise Erdrich,1987,Bantam Doubleday Dell
0440156637,MY MOTHER MY SELF,NANCY FRIDAY,1978,Dell
0765342308,Briar Rose,Jane Yolen,2002,Tor Teen
0553116606,The Amityville Horror,Anson,1978,Bantam
0553122061,Holcroft Covenant,Robert Ludlum,0,Bantam Doubleday Dell
0425050017,The Tenth Commandment,Lawrence Sanders,1981,Berkley Publishing Group
055325846X,Trinity,Leon Uris,1983,Bantam Books
0553251139,The Fourth Protocol,Frederick Forsyth,1985,Bantam Books
0380010038,The Cay,Theodore Taylor,1995,Avon Books
0449125092,Lonely Silver Rain,John D. MacDonald,1986,Ballantine Books
0449209709,San Andreas,Alistair MacLean,1986,Fawcett Books
0345423631,Night of the Wolf,Alice Borchardt,2000,Ballantine Books
0451159098,Prime Evil: New Stories by the Masters of Modern Horror,Douglas E. Winter,1989,Signet Book
0345422589,"Running With the Demon (The Word and the Void Trilogy, Book 1)",Terry Brooks,1998,Del Rey Books
0671502689,SMART WOMEN : A Story of Hope,Judy Blume,1985,Pocket
0449219089,The Day the Rabbi Resigned,Harry Kemelman,1993,Fawcett Books
0671746693,The Eagle Has Flown,Jack Higgins,1991,Pocket
0440215285,Killing Orders,Sara Paretsky,1993,Dell
0553262564,The Aquitaine Progression,Robert Ludlum,1985,Bantam Books
0449148246,Day of Atonement (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1992,Fawcett Books
0449146138,Rivals,Janet Dailey,1990,Ivy Books
0671824813,GOODBYE JANETTE,Robbins,1982,Pocket
0380558890,Aztec,Gary Jennings,1981,Avon Books
0380701766,House,Tracy Kidder,1986,Harper Mass Market Paperbacks (Mm)
0671741039,Swan Song,Robert McCammon,1987,Pocket
0451113357,The Delta Decision,Wilbur A. Smith,1982,New Amer Library
0446360074,Rage of Angels,Sidney Sheldon,1988,Springer-Verlag
0451162188,Blind Faith,Joe McGinniss,1990,Signet Book
0449134369,Heiress,Janet Dailey,1992,Ivy Books
0345341228,Sins of the Flesh,Fern Michaels,1990,Ivy Books
0671620991,Solve Your Child's Sleep Problems,Richard Ferber,1986,Fireside
0449205975,Jian,ERIC VAN LUSTBADER,1986,Fawcett
0553133969,Island,Peter Benchley,0,Bantam Doubleday Dell
0553258990,The Matarese Circle,Robert Ludlum,1983,Bantam Books
0515084557,"The Generals (American Short Story Series, V. 67)",W. E. B. Griffin,1991,Jove Books
0373706677,"Fathers And Other Strangers (Family Man) (Harlequin Superromance, No 667)",Evelyn A. Crowe,1995,Harlequin
0373030940,"Duel Of Passion (Harlequin Romance, No 3094)",Madeleine Ker,1990,Harlequin
0671648705,"Timetrap (Star Trek, No 40)",David Dvorkin,1988,Star Trek
0140130209,The Whiteness of Bones (Contemporary American Fiction),Susanna Moore,1990,Penguin Books
0440135842,Help the Poor Struggler,Martha Grimes,1990,Dell
0425058603,For Special Services,John Gardner,1983,Penguin Putnam~mass
0553248642,The Haj,Leon Uris,1985,Bantam Books
0394723929,The woman warrior: Memoirs of a girlhood among ghosts,Maxine Hong Kingston,1977,Vintage Books
0380851180,Heart of Thunder,Johanna Lindsey,1999,Avon
0425161021,East of Desolation,Jack Higgins,1997,Berkley Publishing Group
0743244281,Barry Trotter and the Unauthorized Parody,Michael Gerber,2002,Fireside
0060008873,Do No Harm,Gregg Hurwitz,2003,HarperTorch
0553264613,Hot Ice,NORA ROBERTS,2003,Bantam
0590877437,"Search for Senna (Everworld, 1)",K. A. Applegate,1999,Scholastic
0671541811,"The Final Fury (Star Trek: Voyager, No 9: Invasion Book No 4)",Dafydd ab Hugh,1996,Star Trek
0517542099,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1989,Harmony
0061054240,Magic the Gathering: Arena Vol. 1,William R. Forstchen,1994,HarperEntertainment
0671794388,Dark Mirror (Star Trek: The Next Generation),Diane Duane,1994,Star Trek
0671019155," Q-Space (Star Trek The Next Generation, Book 47)",Greg Cox,1998,Star Trek
0671741454,Vendetta: The Giant Novel (Star Trek the Next Generation),Peter David,1991,Star Trek
0671775715,"Imbalance (Star Trek The Next Generation, No 22)",V.E. Mitchell,1992,Star Trek
1551668130,The Widow,Anne Stuart,2001,Mira
0380776839,It Had to Be You,Susan Elizabeth Phillips,2002,Avon
0743411544,Two Brothers,Linda Lael Miller,2000,Pocket
0553573225,Home Fires,Luanne Rice,1996,Bantam Books
0380808080,This Heart of Mine (Avon Romance),Susan Elizabeth Phillips,2002,Avon
0836220668,Bride Of The Far Side,Gary Larson,1985,Andrews McMeel Publishing
0451192028,Light a Penny Candle,Maeve Binchy,1997,Signet Book
0345387791,Powers That Be,Anne McCaffrey,1994,Del Rey Books
0373802021,The Fairy Godmother,Mercedes Lackey,2004,Luna
0385312202,Leaving Cold Sassy: The Unfinished Sequel to Cold Sassy,Olive Ann Burns,1994,Delta
0805013342,"\A\"" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)""",Sue Grafton,1982,Henry Holt and Co.
0812566785,Rainbow Mars,Larry Niven,2000,Tor Science Fiction
0060096209,A Little Help from Above,Saralee Rosenberg,2002,Avon Trade
0812534867,Roc and a Hard Place,Piers Anthony,1996,Tor Fantasy
0553263218,The Pigman,PAUL ZINDEL,1983,Bantam
0446364703,Decked : A Regan Reilly Mystery,Carol Higgins Clark,1993,Warner Books
1401088945,Ground Zero and Beyond,J. P. McCarthy,2003,Xlibris Corporation
0671776096,"Whitney, My Love",Judith McNaught,2000,Pocket
0440213991,Guardian Angel,Sara Paretsky,1996,Dell Publishing Company
0425175413,The White House Connection,Jack Higgins,2000,Berkley Publishing Group
0671737783,Mediterranean Caper,Clive Cussler,1991,Pocket
044098761X,A Wind in the Door (Laurel Leaf Books),Madeleine L'Engle,1976,Laure Leaf
0553257048,The Postman,David Brin,1986,Bantam Books
0553130986,Matarese Circle,Robert Ludlum,1979,Bantam Doubleday Dell
0345343581,Kate Vaiden,Reynolds Price,1991,Ballantine Books
0380899825,Hearts Aflame,Johanna Lindsey,1987,Avon
0671640127,FLIGHT OF INTRUDER,Stephen Coonts,1987,Pocket
0812555112,Faun &amp; Games (Xanth),Piers Anthony,1998,Tor Fantasy
0553282204,Bingo,Rita Mae Brown,1989,Bantam Books
0394756886,"Bright lights, big city: A novel",Jay McInerney,1987,Vintage Books
037382503X,"Tyler #3 Wisconsin Wedding (Tyler, No 3)",Carla Neggers,1992,Harlequin
0689806590,Bunnicula: A Rabbit-Tale of Mystery,Deborah Howe,1996,Aladdin
0380018446,Oliver's Story,Erich Segal,2002,HarperTorch
0515090220,The Colonels (Brotherhood of War),W. E. B. Griffin,1995,Jove Books
0425120430,Day of the Cheetah,Dale Brown,1993,Berkley Publishing Group
0425052478,License Renewed,John Gardner,1982,Penguin Putnam~mass
044912505X,Cinnamon Skin,John D. MacDonald,1983,Fawcett Books
0449207269,Ride a Pale Horse,Helen MacInnes,1985,Fawcett Books
0380733358,Eye of the Needle,Ken Follett,2000,Avon
0380703122,Whirlwind,James Clavell,1987,Harper Mass Market Paperbacks (Mm)
0886774039,"Sun-Runner's Fire (Dragon Prince, Book 3)",Melanie Rawn,1994,Daw Books
0312854285,Lord of Chaos : Book Six of 'The Wheel of Time' (Wheel of Time),Robert Jordan,1994,Tor Books
0812545591,The Soprano Sorceress : The first book of 'The Spellsong Cycle' (Spellsong Cycle),L. E. Modesitt Jr.,1998,Tor Fantasy
0345377591,"The Seeress of Kell (The Malloreon, Book 5)",David Eddings,1995,Del Rey Books
0312971842,An Ocean Apart,Robin Pilcher,1999,St. Martin's Press
0786819146,"The Eternity Code (Artemis Fowl, Book 3)",Eoin Colfer,2003,Miramax Kids
0786808551,"The Arctic Incident (Artemis Fowl, Book 2)",Eoin Colfer,2002,Miramax Kids
0671524208,Deep Waters,Jayne Ann Krentz,1997,Pocket Star
8251800811,A Time for Trolls: Fairy Tales from Norway,Peter C. Asbjornsen,1992,Arthur Vanous Co
0812507452,"People of the Sea (The First North Americans series, Book 5)",W. Michael Gear,1994,Tor Books
067187599X,The CITY WHO FOUGHT (Brainship),Anne McCaffrey,1994,Baen
0553572393,Green Mars,Kim Stanley Robinson,1995,Spectra Books
0671877135,LAMMAS NIGHT,Mercedes Lackey,1996,Baen
0440472105,RAMONA FOREVER (Ramona Quimby (Paperback)),BEVERLY CLEARY,1985,Yearling
055327953X,To Be the Best,Barbara Taylor Bradford,1992,Bantam Books
0312113420,James Herriot's Cat Stories,James Herriot,1994,St. Martin's Press
0425138232,Eye of the Storm,Jack Higgins,1995,Berkley Publishing Group
0441005993,"The Long Patrol (Redwall, Book 10)",Brian Jacques,1999,Ace Books
0679805273,"Oh, the Places You'll Go!",Dr. Seuss,1990,Random House Books for Young Readers
0020442106,The Last Battle (The Chronicles of Narnia Book 7),C. S. Lewis,1970,MacMillan Publishing Company.
